,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
90770,223.4606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.701294,0.0,0.0,42.99067,0.0,0.0,41.773125,0.0,0.0,0.0,236.0267,372.29865,44.37627,0.0,366.71512,42.435932,169.62166,0.0,0.0,275.71664,0.0,0.0,0.0,0.0,41.407825,167.89871,0.0,43.483196,573604771.603914,2019-03-06 22:39:26.603914
90771,223.4682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.716118,0.0,0.0,43.001934,0.0,0.0,41.79104,0.0,0.0,0.0,236.10222,372.70096,44.421875,0.0,367.07904,42.480648,169.64977,0.0,0.0,275.84366,0.0,0.0,0.0,0.0,41.452305,167.84042,0.0,43.550068,573604775.6999781,2019-03-06 22:39:30.699978
90772,223.39894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.718224,0.0,0.0,43.030838,0.0,0.0,41.81109,0.0,0.0,0.0,236.19327,373.02042,44.490734,0.0,367.33926,42.536808,169.68236,0.0,0.0,275.91486,0.0,0.0,0.0,0.0,41.510216,167.74283,0.0,43.613663,573604779.796042,2019-03-06 22:39:34.796042
90773,223.37921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.726112,0.0,0.0,43.071342,0.0,0.0,41.841,0.0,0.0,0.0,236.34738,373.41483,44.574207,0.0,367.66666,42.602306,169.73558,0.0,0.0,276.04242,0.0,0.0,0.0,0.0,41.576347,167.68378,0.0,43.68293,573604783.892106,2019-03-06 22:39:38.892106
90774,223.41214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.745773,0.0,0.0,43.08343,0.0,0.0,41.861645,0.0,0.0,0.0,236.43997,373.84024,44.622463,0.0,368.06006,42.64879,169.79062,0.0,0.0,276.17838,0.0,0.0,0.0,0.0,41.62373,167.65349,0.0,43.753082,573604787.988178,2019-03-06 22:39:42.988178
90775,223.47202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.771233,0.0,0.0,43.088703,0.0,0.0,41.88232,0.0,0.0,0.0,236.52205,374.29623,44.66177,0.0,368.49142,42.692276,169.83846,0.0,0.0,276.33713,0.0,0.0,0.0,0.0,41.666656,167.63313,0.0,43.825428,573604792.08425,2019-03-06 22:39:47.084250
90776,223.35493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7599,0.0,0.0,43.135788,0.0,0.0,41.903065,0.0,0.0,0.0,236.64018,374.5513,44.75097,0.0,368.6661,42.75745,169.87057,0.0,0.0,276.38016,0.0,0.0,0.0,0.0,41.73464,167.50409,0.0,43.881218,573604796.1803141,2019-03-06 22:39:51.180314
90777,223.23482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.752117,0.0,0.0,43.163452,0.0,0.0,41.915813,0.0,0.0,0.0,236.69325,374.78055,44.816006,0.0,368.83405,42.810425,169.88246,0.0,0.0,276.40146,0.0,0.0,0.0,0.0,41.789616,167.36176,0.0,43.9349,573604800.2763779,2019-03-06 22:39:55.276378
90778,223.29776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.777225,0.0,0.0,43.167923,0.0,0.0,41.934803,0.0,0.0,0.0,236.7745,375.21906,44.853672,0.0,369.25143,42.851387,169.94081,0.0,0.0,276.54977,0.0,0.0,0.0,0.0,41.831234,167.34578,0.0,44.00471,573604804.372442,2019-03-06 22:39:59.372442
90779,223.22064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.769707,0.0,0.0,43.202625,0.0,0.0,41.951103,0.0,0.0,0.0,236.88809,375.4684,44.92838,0.0,369.43784,42.90639,169.99055,0.0,0.0,276.60083,0.0,0.0,0.0,0.0,41.889336,167.24542,0.0,44.055695,573604808.4685061,2019-03-06 22:40:03.468506
90780,223.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.765198,0.0,0.0,43.215763,0.0,0.0,41.9572,0.0,0.0,0.0,236.93913,375.70084,44.973324,0.0,369.62576,42.945362,170.01042,0.0,0.0,276.6508,0.0,0.0,0.0,0.0,41.930256,167.13194,0.0,44.101166,573604812.56457,2019-03-06 22:40:07.564570
90781,223.19067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7777,0.0,0.0,43.213665,0.0,0.0,41.964745,0.0,0.0,0.0,236.99985,376.0233,45.002556,0.0,369.9315,42.976055,170.07082,0.0,0.0,276.7471,0.0,0.0,0.0,0.0,41.963577,167.09024,0.0,44.154404,573604816.660634,2019-03-06 22:40:11.660634
90782,223.22308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.787796,0.0,0.0,43.222153,0.0,0.0,41.976788,0.0,0.0,0.0,237.09612,376.3572,45.04475,0.0,370.2373,43.013783,170.13698,0.0,0.0,276.85883,0.0,0.0,0.0,0.0,42.003517,167.05194,0.0,44.20778,573604820.7566979,2019-03-06 22:40:15.756698
