,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
41790,234.54343,315.2979,32.96352,248.93678,327.50323,30.642143,261.19623,338.0114,31.97571,246.44994,350.86334,31.985796,204.33739,317.70853,38.07605,254.8022,338.59293,39.812843,216.83414,313.92587,36.60836,209.89903,335.66702,32.08492,161.86578,299.8738,35.847828,256.04044,339.958,28.911743,248.7475,323.57996,31.353697,165.14273,313.14685,34.88931,573284686.2740669,2019-03-03 05:44:41.274067,GRB190303240
41791,223.14064,325.827,32.962566,250.41473,335.7249,30.397873,257.27664,339.8502,30.995708,239.44809,342.3838,31.493427,212.17487,309.38596,36.9745,263.98914,337.2446,36.75023,223.4586,323.61703,37.222694,204.74129,331.1127,31.470402,159.05719,306.12393,35.114933,257.8882,342.42163,30.995588,241.28354,329.46838,30.619738,165.99777,315.9589,34.644077,573284690.370132,2019-03-03 05:44:45.370132,GRB190303240
41792,232.21735,342.0151,32.22858,248.31154,331.40887,26.105804,259.2366,345.1179,33.93598,238.09727,336.3752,35.414368,208.99358,314.89835,35.01591,274.7648,333.56424,37.607132,229.33914,321.66254,36.243664,209.39377,323.02966,30.490671,158.3258,313.71512,33.157875,260.5913,346.35242,30.506456,235.88063,327.612,31.720188,164.04245,311.68066,34.03269,573284694.4661961,2019-03-03 05:44:49.466196,GRB190303240
41793,235.76181,335.99734,33.69776,246.32008,323.64743,24.141819,263.39618,348.78552,34.547775,240.05937,339.3182,34.80187,194.55067,333.7603,34.526928,279.0592,340.43265,41.16062,222.60306,323.25198,36.733177,211.84766,321.81253,29.879091,161.88463,313.9803,34.62838,257.63538,340.08362,32.219738,237.83504,321.35898,32.20938,166.86734,302.3935,35.381264,573284698.5622599,2019-03-03 05:44:53.562260,GRB190303240
41794,238.21692,338.08667,32.227905,243.87164,315.31744,30.269495,266.82477,344.86304,33.689995,240.53151,341.37585,34.554195,199.68674,328.73016,35.382874,273.18878,349.63266,41.77461,221.87659,328.8965,36.24474,201.546,323.25726,33.305294,165.55292,309.9376,35.484367,257.62167,331.4904,33.07554,233.67876,322.59427,33.43517,164.41919,302.8839,35.136494,573284702.658324,2019-03-03 05:44:57.658324,GRB190303240
41795,235.03914,344.4708,29.410528,236.15688,319.8596,30.882996,265.01672,353.60068,34.428894,246.42517,346.90686,38.96728,198.19917,311.0711,38.440113,264.24792,355.8833,42.26497,221.25563,317.61877,36.610645,207.8036,321.80783,33.429806,167.0159,312.86423,38.052708,260.56342,340.80273,34.05577,232.8144,320.13513,36.740833,163.92549,300.1832,34.278667,573284706.754389,2019-03-03 05:45:01.754389,GRB190303240
41796,230.75104,342.02133,31.371359,241.19762,329.19553,29.536903,273.60962,356.93008,34.185886,252.3387,354.1811,38.60451,198.21426,316.849,39.66734,275.28543,350.75308,38.34639,222.47368,318.58917,34.16079,215.40251,327.69592,30.7368,167.15051,315.8239,37.566036,258.4814,347.90863,34.17835,238.44739,318.78714,35.271107,163.42761,305.79938,35.50113,573284710.8504541,2019-03-03 05:45:05.850454,GRB190303240
41797,235.54897,351.97534,30.27086,252.98077,321.25125,30.151777,267.21793,353.71762,33.570705,244.11278,347.17444,37.499252,199.69536,326.78537,38.935085,276.03174,350.3998,36.63271,225.29414,321.1666,32.814583,214.42961,331.9924,33.431915,167.38658,313.1157,33.64862,257.00308,344.58994,31.849762,244.21805,331.66623,35.763123,161.47456,312.05356,32.56424,573284714.946518,2019-03-03 05:45:09.946518,GRB190303240
41798,237.14532,352.22516,28.432928,253.24739,328.75583,27.825344,272.13983,374.08505,32.838127,242.64264,347.42014,37.37677,208.99562,329.716,35.750862,274.69473,360.21524,36.879177,220.75691,310.13715,35.01746,213.4655,341.2019,36.61858,172.63664,303.9188,33.157,257.86438,345.085,31.605228,241.8946,336.81528,36.008614,168.45816,304.7183,31.953182,573284719.04259,2019-03-03 05:45:14.042590,GRB190303240
41799,243.42279,362.06995,33.706577,266.40738,377.11417,32.856503,296.4819,423.5806,35.666077,252.2277,365.47278,37.013004,215.26364,348.60956,36.367065,293.48285,387.34836,36.761944,223.09148,319.45425,36.732956,217.25156,351.22742,32.94288,170.32007,312.9876,32.42444,260.08856,348.29572,32.832657,248.03514,352.88358,35.27611,171.39915,315.61932,33.545265,573284724.164136,2019-03-03 05:45:19.164136,GRB190303240
41800,244.43715,363.63092,35.970684,284.58124,389.2548,37.780613,299.21658,423.6449,38.587494,244.23576,371.7484,33.67642,219.70589,352.01947,36.91712,301.1103,383.98917,44.627094,221.97697,341.05072,37.731186,218.25162,335.2188,35.122826,165.18439,323.51328,36.072872,253.80061,350.22195,33.502335,243.78384,354.89175,35.94668,158.58224,329.41336,31.847103,573284729.7962251,2019-03-03 05:45:24.796225,GRB190303240
41801,237.24814,351.75467,34.900967,268.5001,349.30508,29.615423,283.50793,374.28534,33.722935,252.17316,363.749,36.865128,216.69412,339.14786,35.4626,282.8924,374.2492,44.306087,218.04904,325.40833,31.345774,218.29057,329.7873,40.170166,172.68355,319.7191,36.80783,257.3895,341.29102,31.561089,239.8644,337.8482,30.570951,162.76743,313.1951,33.29779,573284734.4028401,2019-03-03 05:45:29.402840,GRB190303240
41802,266.50156,367.6898,39.416348,276.40485,401.95422,35.70311,304.76462,446.55664,38.43878,246.499,364.7479,36.08259,217.09625,356.7981,33.113056,292.1261,411.72137,40.78002,237.47256,341.31784,34.876335,220.66295,335.30576,37.23442,173.4801,337.56174,35.440067,256.78284,358.31985,28.03049,240.66847,365.11838,37.432964,169.64404,328.9057,34.673206,573284738.498904,2019-03-03 05:45:33.498904,GRB190303240
41803,268.49414,392.8369,33.9295,285.4399,414.91782,37.47012,301.2667,467.0026,37.266064,246.68579,387.8732,34.316387,226.88933,353.65738,31.936926,310.41003,418.0633,44.31628,244.13713,340.53796,33.70111,221.82509,339.20425,34.292747,173.67503,342.25925,37.00629,272.49677,364.04785,32.34674,241.43707,352.94495,31.747408,167.30486,344.9928,35.459225,573284742.594969,2019-03-03 05:45:37.594969,GRB190303240
41804,250.41031,372.18384,35.100582,269.73312,394.88928,30.602448,301.8272,445.5825,42.557835,259.0317,378.05685,41.570568,206.89014,338.35156,38.400063,296.4349,385.05167,40.583347,224.5156,329.52463,37.615177,223.57559,329.97485,34.68263,185.41415,335.19434,34.65502,270.72876,374.82504,30.385921,229.86813,351.95496,33.118256,168.65666,327.715,36.04277,573284746.6910341,2019-03-03 05:45:41.691034,GRB190303240
41805,255.72049,372.9911,30.004015,276.21658,387.84103,30.211187,313.58252,421.4439,35.692318,246.6678,357.6487,36.862915,201.60587,355.60217,35.65818,299.9596,386.22247,38.62225,223.73059,325.4085,34.67628,227.12704,342.3563,33.11861,183.84842,330.888,34.655132,259.7387,367.75082,32.344822,250.46703,332.58417,34.101143,172.56793,331.22858,36.62906,573284750.7870979,2019-03-03 05:45:45.787098,GRB190303240
41806,251.58353,366.49228,36.86493,273.4401,367.2022,32.365578,295.899,390.6102,35.49219,246.07942,351.7661,32.353073,208.06474,348.73376,38.00806,279.37445,377.9887,38.62229,235.52425,354.07016,34.877968,222.00868,343.49622,35.858418,174.2483,322.84882,40.135845,258.74905,358.52423,32.735676,250.84854,340.4093,37.039356,166.50497,338.88657,31.146223,573284754.883162,2019-03-03 05:45:49.883162,GRB190303240
41807,239.00282,333.11386,38.62474,250.24417,339.67313,34.516438,280.95154,371.3344,35.48655,245.70094,359.4332,39.806297,213.34836,341.86673,35.85193,277.5654,341.8602,42.928547,235.5119,326.0331,28.998138,213.78325,333.9016,34.09559,172.88197,329.70923,33.088398,250.7082,345.97342,31.16701,240.85503,336.09958,34.687828,167.27925,326.13577,33.29915,573284758.979235,2019-03-03 05:45:53.979235,GRB190303240
41808,240.55708,332.11386,35.87771,243.74672,324.93024,32.159664,276.42905,363.47476,38.425594,234.69029,346.64362,38.624886,209.04234,331.48984,31.15064,271.88452,359.70303,40.380833,232.1718,323.2772,37.225857,216.52238,333.50327,36.8382,171.12944,328.74866,32.894447,265.63272,340.71564,30.97415,245.93748,330.39886,30.570715,158.87233,318.92004,30.36401,573284763.0753081,2019-03-03 05:45:58.075308,GRB190303240
41809,225.68115,340.77658,36.665833,248.85243,332.58765,31.376194,263.28384,347.18964,38.032066,243.54446,345.31546,37.453297,212.18219,339.72662,32.13101,267.5603,346.16226,41.35914,229.23817,329.55438,34.679623,215.94916,341.1683,34.88108,163.86555,312.65628,35.827236,272.1077,341.50693,34.307526,230.6431,328.42636,32.333145,161.8008,299.116,36.434563,573284767.1713719,2019-03-03 05:46:02.171372,GRB190303240
41810,231.16084,330.36984,33.72321,256.4992,324.54602,32.55265,271.3125,348.55032,37.050625,240.57974,354.69336,37.449657,214.1438,329.15057,34.090595,275.0275,356.7712,39.793713,224.93222,327.79755,31.741306,209.65105,331.7189,37.031822,170.71985,306.00357,37.002354,263.45157,331.8627,31.363281,232.80229,324.3163,33.117496,169.24692,296.96564,35.45566,573284771.267436,2019-03-03 05:46:06.267436,GRB190303240
41811,230.37793,337.038,30.782412,242.16998,329.4296,34.119495,271.69678,342.26736,37.83368,226.04291,351.12128,32.15181,214.36316,326.44336,39.972656,290.72296,361.10028,39.795525,236.3107,337.41876,38.209442,217.1272,337.64453,32.52989,170.52878,305.0331,37.003376,262.06665,333.0226,30.185688,222.99515,335.8644,33.704014,168.06877,304.0125,31.145613,573284775.3635011,2019-03-03 05:46:10.363501,GRB190303240
41812,239.57033,336.81,32.15183,234.94484,333.98254,33.731647,269.34125,332.854,35.284878,240.0017,365.88492,32.15709,210.0182,328.74118,35.460163,284.23923,347.75198,36.46103,233.74445,325.24374,35.26739,206.13167,337.8051,40.75607,155.8328,321.64987,36.217422,271.69193,341.28113,31.364147,230.84808,334.3182,34.686005,171.79013,310.28,36.63028,573284779.4595661,2019-03-03 05:46:14.459566,GRB190303240
41813,230.3619,324.66324,35.289482,246.50763,330.834,31.573372,253.86064,348.93585,35.08962,251.36224,346.45636,34.50839,223.16527,335.62958,39.186176,280.6897,344.00168,40.77057,227.08272,323.67615,32.524357,211.6196,325.26715,36.837486,159.36658,336.15775,37.590153,261.8946,338.14984,30.776537,228.49232,313.14816,33.509594,164.54938,315.58218,32.71398,573284783.55563,2019-03-03 05:46:18.555630,GRB190303240
41814,227.07352,349.63046,37.257313,248.24837,316.68335,28.040691,258.36832,351.0908,38.421997,241.75719,349.40088,36.46945,202.98192,334.44995,39.773483,267.17047,337.73642,39.791348,231.98845,335.44275,34.87664,220.4517,326.66043,36.25206,166.81157,328.92422,35.829247,267.57812,328.54282,30.972414,253.20105,327.86792,36.451546,163.94432,319.66205,32.710514,573284787.651694,2019-03-03 05:46:22.651694,GRB190303240
41815,243.92888,337.65717,33.530415,252.56374,327.07788,34.707905,270.7438,374.06168,39.994015,243.1215,348.80093,35.683964,213.74852,319.74115,41.14316,274.6414,355.60275,44.89142,228.86208,338.19858,37.22928,218.09276,328.02094,31.35206,177.38776,314.4423,37.7879,258.76294,349.13394,31.169174,231.82845,322.95288,32.922382,168.6573,316.74664,37.414104,573284791.7477591,2019-03-03 05:46:26.747759,GRB190303240
41816,230.96451,341.54514,35.487755,257.30408,345.55624,34.12417,273.46167,355.01007,33.129047,247.6431,355.28845,36.27393,197.47084,314.6212,38.0053,292.87576,350.1179,41.951416,242.77502,335.65265,37.033478,215.15433,327.82623,31.35218,175.23598,333.24207,37.98411,254.82498,346.758,31.167055,235.93745,316.86948,34.097275,155.91,305.3564,38.194035,573284795.8438239,2019-03-03 05:46:30.843824,GRB190303240
41817,229.7718,329.5618,33.91683,243.54028,323.54385,30.981775,267.397,355.6145,27.053364,242.54759,352.35086,37.64684,203.75635,338.549,36.24512,271.07736,347.912,42.33746,235.33336,338.59787,36.4463,215.53162,335.05368,33.113495,168.56892,329.6981,37.198715,250.31804,330.6864,27.834896,229.07713,328.0369,34.880863,157.66621,303.38504,30.55395,573284799.939888,2019-03-03 05:46:34.939888,GRB190303240
