,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
41792,232.09726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.853737,0.0,0.0,36.00371,0.0,0.0,34.77254,0.0,0.0,0.0,224.50972,314.3369,33.601063,0.0,312.4916,32.60705,161.66702,0.0,0.0,258.18796,0.0,0.0,0.0,0.0,31.573093,159.71234,0.0,32.051273,573284694.4661961,2019-03-03 05:44:49.466196
41793,232.10477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.84784,0.0,0.0,36.01084,0.0,0.0,34.778008,0.0,0.0,0.0,224.66891,314.6917,33.636936,0.0,312.8277,32.624363,161.72812,0.0,0.0,258.33652,0.0,0.0,0.0,0.0,31.593365,159.68292,0.0,32.07662,573284698.5622599,2019-03-03 05:44:53.562260
41794,232.15424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.852066,0.0,0.0,36.011112,0.0,0.0,34.783737,0.0,0.0,0.0,224.86398,315.13553,33.665043,0.0,313.29135,32.623074,161.79413,0.0,0.0,258.51022,0.0,0.0,0.0,0.0,31.609312,159.66371,0.0,32.092716,573284702.658324,2019-03-03 05:44:57.658324
41795,232.10977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.82843,0.0,0.0,36.02741,0.0,0.0,34.78715,0.0,0.0,0.0,224.98906,315.3999,33.712574,0.0,313.48032,32.665707,161.84198,0.0,0.0,258.64597,0.0,0.0,0.0,0.0,31.634737,159.6106,0.0,32.129288,573284706.754389,2019-03-03 05:45:01.754389
41796,232.0912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.81077,0.0,0.0,36.035145,0.0,0.0,34.78784,0.0,0.0,0.0,225.13774,315.72345,33.75086,0.0,313.76343,32.690235,161.89873,0.0,0.0,258.79532,0.0,0.0,0.0,0.0,31.654737,159.56497,0.0,32.156105,573284710.8504541,2019-03-03 05:45:05.850454
41797,232.11859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.805023,0.0,0.0,36.041183,0.0,0.0,34.79298,0.0,0.0,0.0,225.3212,316.13235,33.785824,0.0,314.16025,32.703114,161.9564,0.0,0.0,258.97473,0.0,0.0,0.0,0.0,31.67321,159.53586,0.0,32.178104,573284714.946518,2019-03-03 05:45:09.946518
41798,232.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.781033,0.0,0.0,36.059196,0.0,0.0,34.79726,0.0,0.0,0.0,225.44748,316.39868,33.835037,0.0,314.3472,32.74854,162.00603,0.0,0.0,259.11563,0.0,0.0,0.0,0.0,31.699705,159.48593,0.0,32.21621,573284719.04259,2019-03-03 05:45:14.042590
41799,232.07742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769802,0.0,0.0,36.06658,0.0,0.0,34.80146,0.0,0.0,0.0,225.64793,316.84732,33.879784,0.0,314.77142,32.76982,162.08536,0.0,0.0,259.30606,0.0,0.0,0.0,0.0,31.72444,159.44421,0.0,32.24707,573284724.164136,2019-03-03 05:45:19.164136
41800,232.05627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.738438,0.0,0.0,36.087177,0.0,0.0,34.805687,0.0,0.0,0.0,225.86497,317.30725,33.94261,0.0,315.1414,32.820507,162.15352,0.0,0.0,259.5505,0.0,0.0,0.0,0.0,31.756256,159.38037,0.0,32.29125,573284729.7962251,2019-03-03 05:45:24.796225
41801,232.0711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.735596,0.0,0.0,36.091476,0.0,0.0,34.81122,0.0,0.0,0.0,226.05061,317.7324,33.980465,0.0,315.5632,32.832874,162.2313,0.0,0.0,259.71625,0.0,0.0,0.0,0.0,31.778389,159.35083,0.0,32.31726,573284734.4028401,2019-03-03 05:45:29.402840
41802,231.99939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.697624,0.0,0.0,36.11833,0.0,0.0,34.81481,0.0,0.0,0.0,226.16371,317.95303,34.04,0.0,315.65808,32.89961,162.27278,0.0,0.0,259.86722,0.0,0.0,0.0,0.0,31.809351,159.28748,0.0,32.364376,573284738.498904,2019-03-03 05:45:33.498904
41803,231.99261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.690784,0.0,0.0,36.123756,0.0,0.0,34.818798,0.0,0.0,0.0,226.3116,318.29126,34.077,0.0,315.9801,32.918133,162.34627,0.0,0.0,259.9986,0.0,0.0,0.0,0.0,31.831032,159.25629,0.0,32.392296,573284742.594969,2019-03-03 05:45:37.594969
41804,232.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.69108,0.0,0.0,36.134567,0.0,0.0,34.829506,0.0,0.0,0.0,226.49617,318.70782,34.116608,0.0,316.38644,32.937065,162.42563,0.0,0.0,260.17453,0.0,0.0,0.0,0.0,31.85414,159.24492,0.0,32.42201,573284746.6910341,2019-03-03 05:45:41.691034
41805,231.9422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.682255,0.0,0.0,36.17337,0.0,0.0,34.84932,0.0,0.0,0.0,226.59389,318.91537,34.164394,0.0,316.50092,32.990604,162.46254,0.0,0.0,260.29257,0.0,0.0,0.0,0.0,31.886238,159.16623,0.0,32.469135,573284750.7870979,2019-03-03 05:45:45.787098
41806,231.93298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.688236,0.0,0.0,36.20121,0.0,0.0,34.87213,0.0,0.0,0.0,226.73987,319.24966,34.212128,0.0,316.79306,33.02966,162.53716,0.0,0.0,260.43283,0.0,0.0,0.0,0.0,31.919718,159.1431,0.0,32.513824,573284754.883162,2019-03-03 05:45:49.883162
41807,231.89775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.68115,0.0,0.0,36.229633,0.0,0.0,34.8899,0.0,0.0,0.0,226.88628,319.56674,34.255676,0.0,317.04556,33.071205,162.58775,0.0,0.0,260.5984,0.0,0.0,0.0,0.0,31.95062,159.09692,0.0,32.554092,573284758.979235,2019-03-03 05:45:53.979235
41808,231.95242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.68377,0.0,0.0,36.239723,0.0,0.0,34.90168,0.0,0.0,0.0,227.10371,320.0519,34.29827,0.0,317.53162,33.087353,162.6837,0.0,0.0,260.80475,0.0,0.0,0.0,0.0,31.974443,159.10205,0.0,32.584576,573284763.0753081,2019-03-03 05:45:58.075308
41809,231.94217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.680733,0.0,0.0,36.26781,0.0,0.0,34.92183,0.0,0.0,0.0,227.27231,320.41916,34.344482,0.0,317.8436,33.126713,162.7397,0.0,0.0,260.98883,0.0,0.0,0.0,0.0,32.005295,159.06995,0.0,32.625286,573284767.1713719,2019-03-03 05:46:02.171372
41810,231.8932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6856,0.0,0.0,36.30529,0.0,0.0,34.95025,0.0,0.0,0.0,227.39813,320.697,34.399227,0.0,318.05365,33.17889,162.8041,0.0,0.0,261.11066,0.0,0.0,0.0,0.0,32.04476,159.03783,0.0,32.680313,573284771.267436,2019-03-03 05:46:06.267436
41811,231.85144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.679234,0.0,0.0,36.327568,0.0,0.0,34.964195,0.0,0.0,0.0,227.54308,321.0093,34.44555,0.0,318.31906,33.213882,162.87271,0.0,0.0,261.2487,0.0,0.0,0.0,0.0,32.073845,159.0007,0.0,32.72169,573284775.3635011,2019-03-03 05:46:10.363501
41812,231.87242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.675907,0.0,0.0,36.349068,0.0,0.0,34.980064,0.0,0.0,0.0,227.74243,321.43887,34.492344,0.0,318.71286,33.24484,162.94894,0.0,0.0,261.45535,0.0,0.0,0.0,0.0,32.100372,158.99136,0.0,32.759083,573284779.4595661,2019-03-03 05:46:14.459566
41813,231.93866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.675472,0.0,0.0,36.361645,0.0,0.0,34.992386,0.0,0.0,0.0,227.975,321.9531,34.535122,0.0,319.2187,33.264812,163.05048,0.0,0.0,261.69077,0.0,0.0,0.0,0.0,32.123238,159.00285,0.0,32.789703,573284783.55563,2019-03-03 05:46:18.555630
41814,231.90479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.672844,0.0,0.0,36.38243,0.0,0.0,35.007122,0.0,0.0,0.0,228.12015,322.2733,34.58156,0.0,319.50143,33.298084,163.1319,0.0,0.0,261.82217,0.0,0.0,0.0,0.0,32.153088,158.97556,0.0,32.83184,573284787.651694,2019-03-03 05:46:22.651694
41815,231.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.66827,0.0,0.0,36.413235,0.0,0.0,35.02702,0.0,0.0,0.0,228.27559,322.60086,34.633648,0.0,319.7678,33.34128,163.19063,0.0,0.0,261.98132,0.0,0.0,0.0,0.0,32.185486,158.94092,0.0,32.878693,573284791.7477591,2019-03-03 05:46:26.747759
41816,231.85098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.666584,0.0,0.0,36.44468,0.0,0.0,35.048706,0.0,0.0,0.0,228.4434,322.95914,34.687443,0.0,320.06924,33.384598,163.25533,0.0,0.0,262.15207,0.0,0.0,0.0,0.0,32.219025,158.91281,0.0,32.926476,573284795.8438239,2019-03-03 05:46:30.843824
41817,231.81871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.66404,0.0,0.0,36.469322,0.0,0.0,35.065727,0.0,0.0,0.0,228.59435,323.28928,34.736687,0.0,320.3547,33.42174,163.33101,0.0,0.0,262.29385,0.0,0.0,0.0,0.0,32.250587,158.88263,0.0,32.971012,573284799.939888,2019-03-03 05:46:34.939888
41818,231.81436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.657597,0.0,0.0,36.491554,0.0,0.0,35.079826,0.0,0.0,0.0,228.77956,323.68912,34.78478,0.0,320.71326,33.456165,163.41318,0.0,0.0,262.48337,0.0,0.0,0.0,0.0,32.279755,158.86255,0.0,33.01151,573284804.035961,2019-03-03 05:46:39.035961
41819,231.8669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.668365,0.0,0.0,36.508926,0.0,0.0,35.098694,0.0,0.0,0.0,228.99158,324.18018,34.836567,0.0,321.20178,33.485718,163.54333,0.0,0.0,262.6765,0.0,0.0,0.0,0.0,32.314255,158.88,0.0,33.055984,573284808.1320341,2019-03-03 05:46:43.132034
41820,231.8497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.66394,0.0,0.0,36.53375,0.0,0.0,35.114113,0.0,0.0,0.0,229.16669,324.56906,34.889168,0.0,321.545,33.52768,163.62442,0.0,0.0,262.85336,0.0,0.0,0.0,0.0,32.349823,158.8506,0.0,33.103367,573284812.228098,2019-03-03 05:46:47.228098
41821,231.85715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.664246,0.0,0.0,36.567627,0.0,0.0,35.137062,0.0,0.0,0.0,229.36879,325.0115,34.95007,0.0,321.93246,33.579273,163.70816,0.0,0.0,263.06784,0.0,0.0,0.0,0.0,32.3915,158.83383,0.0,33.15797,573284816.324163,2019-03-03 05:46:51.324163
