,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
69914,189.33444,344.8679,39.801872,185.60847,330.81406,37.831806,150.87912,335.53168,40.13654,267.459,367.97064,42.65616,279.1006,374.83075,41.797672,200.65106,359.3111,47.1328,240.31226,323.68088,30.360386,264.66827,352.03333,36.882015,299.03485,353.32684,39.462795,218.2653,325.01086,33.908855,194.62126,331.83536,33.538506,201.0774,323.41376,33.55372,573421016.085835,2019-03-04 19:36:51.085835,GRB190304818
69915,189.82954,346.83694,40.17038,190.64041,340.50803,34.89564,150.1372,332.4554,42.21462,271.3831,373.36627,42.16612,272.9598,367.46002,41.795822,201.8698,347.05936,46.886677,235.17804,322.09964,33.544395,265.522,342.5932,32.1028,306.0236,363.87024,37.992516,219.23112,316.54477,32.43788,193.63321,323.00763,36.10733,205.6112,326.8471,32.94188,573421020.181901,2019-03-04 19:36:55.181901,GRB190304818
69916,199.38524,355.53766,42.742905,185.6349,340.4123,38.204544,146.5836,335.7474,39.276573,261.58453,381.835,43.760864,280.0712,362.19272,38.977085,202.2239,347.64883,47.985332,231.99832,329.5723,35.870983,265.16006,352.03552,33.94147,300.98596,360.791,37.010487,223.88252,325.8476,34.6412,195.10254,324.84448,37.943405,210.0211,332.60486,34.779007,573421024.277966,2019-03-04 19:36:59.277966,GRB190304818
69917,205.26561,357.0103,43.23315,182.07272,327.0452,43.834587,150.38051,326.94608,40.37882,256.20224,399.38132,45.478966,293.2149,367.74445,42.29061,205.77582,349.97803,48.35303,230.5238,336.78757,33.421665,257.0632,354.96286,36.758324,302.57645,355.15048,37.62291,216.91673,331.00613,37.213707,186.41907,333.3021,38.06719,207.69978,337.87952,35.269775,573421028.3740311,2019-03-04 19:37:03.374031,GRB190304818
69918,206.84862,359.81128,39.9246,182.0607,325.1871,42.729782,153.56177,320.21603,43.19307,261.58197,381.21835,42.412075,280.69965,374.34793,44.00488,206.39658,346.1978,45.53946,230.38707,331.9924,31.950598,256.5897,352.7802,32.59449,308.08658,356.37064,34.926285,216.55756,328.0804,37.704765,186.65811,329.86465,36.964428,205.86156,338.85718,34.28985,573421032.4700971,2019-03-04 19:37:07.470097,GRB190304818
69919,205.98975,352.46045,38.822086,188.68726,340.88602,40.039413,155.5191,321.3164,44.29419,265.50812,366.51398,42.044914,271.61517,379.96707,42.04152,205.90729,343.26044,42.35667,231.12846,327.9625,31.094614,268.2426,349.60995,32.35087,305.77982,362.27863,34.928757,220.23682,333.72183,34.64537,199.63527,323.9942,34.27215,211.49731,332.73782,39.678707,573421036.5661631,2019-03-04 19:37:11.566163,GRB190304818
69920,201.46072,340.4625,41.149426,190.77216,339.78995,40.407455,150.87003,324.13193,44.53908,278.78033,378.94022,41.927387,290.88425,384.2908,43.883926,208.35902,350.85605,42.72462,230.77156,328.9566,31.096008,264.79346,341.98917,33.328934,302.84192,359.70905,35.174274,218.76315,335.30624,33.29803,196.94286,322.77084,31.456999,212.71466,323.66428,35.636135,573421040.6622281,2019-03-04 19:37:15.662228,GRB190304818
69921,206.26477,382.7657,44.21709,192.74747,370.4327,39.798557,150.88776,353.53992,42.831074,281.48508,403.1023,41.192936,357.2051,502.07437,43.301308,212.52779,373.14786,45.664093,232.26663,365.4802,32.323875,263.71182,365.91238,34.55703,306.50775,362.88263,36.521114,226.22676,329.6692,33.664696,193.27809,334.77872,30.968561,206.95511,326.5972,34.165962,573421046.294318,2019-03-04 19:37:21.294318,GRB190304818
69922,214.19125,346.07663,46.639996,188.87115,340.12482,39.77266,151.34222,340.86264,38.373966,277.14084,367.16748,39.815704,293.2396,372.67908,42.956165,212.91682,336.12262,41.72151,230.15172,322.40826,32.51505,255.6664,337.81686,36.27169,320.0266,351.99005,34.120483,219.76233,326.7055,32.51386,206.035,333.14215,37.015797,198.67047,320.53738,37.226223,573421051.926408,2019-03-04 19:37:26.926408,GRB190304818
69923,211.64145,344.8972,46.247578,193.95045,342.05807,43.49192,156.43669,340.67566,39.5497,282.05,379.92407,38.24739,288.865,358.48282,39.417423,212.72495,331.6237,42.89757,232.30692,313.79062,37.02024,241.16191,353.312,33.91952,330.61896,356.30762,33.140335,231.33557,331.6267,32.32038,199.75284,328.22134,35.642174,206.91219,333.09726,39.775734,573421056.0224811,2019-03-04 19:37:31.022481,GRB190304818
